发表时间,来源,论文类型,论文题目,题目翻译,谷歌引用,论文地址,代码地址,Github Star,所用数据集,数据集地址,备注
2024,Oral,多模态评测；基准,MMBENCH: Is Your Multi-Modal Model an All-around Player?,MMBENCH：你的多模态模型是全能选手吗？,1615,https://arxiv.org/pdf/2307.06281,https://github.com/open-compass/MMBench?utm_source=chatgpt.com,267,,,
2024,Multi-Modal,多模态字幕；模型增强,ShareGPT4V: Improving Large Multi-Modal Models with Better Captions,ShareGPT4V：通过更优描述提升大型多模态模型,943,https://arxiv.org/abs/2311.12793,https://github.com/ShareGPT4Omni/ShareGPT4V,243,,,
2024,Oral,视频理解；长视频,LongVLM: Efficient Long Video Understanding via Large Language Models,LongVLM：基于大语言模型的高效长视频理解,431,https://arxiv.org/pdf/2404.03384?,https://github.com/ziplab/LongVLM?utm_source=chatgpt.com,107,,,
2024,Multi-Modal,多模态理解；数学视觉,MathVerse: Does Your Multi-modal LLM Truly See the Diagrams in Visual Math Problems?,MathVerse：你的多模态大模型是否真正“看懂”了视觉数学题中的图示？,415,https://arxiv.org/abs/2403.14624,https://github.com/ZrrSkywalker/MathVerse,174,,,
2024,Foundation Model,视频理解；基础模型,InternVideo2: Scaling Foundation Models for Multimodal Video Understanding,InternVideo2：面向多模态视频理解的基础模型扩展,412,https://arxiv.org/abs/2403.15377,https://github.com/OpenGVLab/InternVideo/tree/main/InternVideo2/,2100,,,
2024,Multimodal,预训练；多模态模型,"MM1: Methods, Analysis & Insights from Multimodal LLM Pre-training",MM1：多模态大语言模型预训练的方法、分析与见解,382,https://arxiv.org/abs/2403.09611,https://github.com/kyegomez/MM1,24,,,
2024,Oral,推理加速；VLM,An Image is Worth 1/2 Tokens After Layer 2: Plug-and-Play Inference Acceleration for Large Vision-Language Models,图像在第 2 层后只值半个 token：用于大规模视觉-语言模型的即插即用推理加速,344,https://arxiv.org/pdf/2403.06764,https://github.com/pkunlp-icler/FastV?utm_source=chatgpt.com,516,,,
2024,Multimodal,模型评估；多模态,BLINK: Multimodal Large Language Models Can See but Not Perceive,BLINK：多模态大语言模型能“看见”但不能“感知”,317,https://arxiv.org/abs/2404.12390,,,,,
2024,Foundation Model,物体解析；基础模型,PartGLEE: A Foundation Model for Recognizing and Parsing Any Objects,PartGLEE：用于任意物体识别与解析的基础模型,291,https://arxiv.org/abs/2407.16696,https://github.com/ProvenceStar/PartGLEE,54,,,
2024,Multimodal,安全评测；多模态,MM-SafetyBench: A Benchmark for Safety Evaluation of Multimodal Large Language Models,MM-SafetyBench：多模态大语言模型安全性评测基准,217,https://arxiv.org/abs/2311.17600,https://github.com/isXinLiu/MM-SafetyBench,175,,,
