发表时间,来源,论文类型,论文题目,题目翻译,谷歌引用,论文地址,代码地址,Github Star,所用数据集,数据集地址,备注
2025,Medical,多模态学习；医学诊断决策,PathFinder: A Multi-Modal Multi-Agent System for Medical Diagnostic Decision-Making Applied to Histopathology,PathFinder：一个用于医学诊断决策的多模态多智能体系统，应用于组织学病理学,18,https://arxiv.org/abs/2502.08916,https://github.com/pathfinder-dx/PathFinder,0,,,
2025,Medical,视觉问答；医学影像诊断,"GEMeX: A Large-Scale, Groundable, and Explainable Medical VQA Benchmark for Chest X-ray Diagnosis",GEMeX：一个用于胸部X光诊断的大规模、可基准化且可解释的医学视觉问答基准,19,https://arxiv.org/abs/2411.16778,,,,,
2025,Medical,自监督学习；3D医学视觉,An OpenMind for 3D Medical Vision Self-supervised Learning,开放思维：3D医学视觉自监督学习,7,https://arxiv.org/abs/2412.17041,https://github.com/MIC-DKFZ/nnssl,115,,,
2025,Medical,半监督学习；医学图像分割,Adaptive Learning of High-Value Regions for Semi-Supervised Medical Image Segmentation,高价值区域的自适应学习用于半监督医学图像分割,1,https://openaccess.thecvf.com/content/ICCV2025/papers/Lei_Adaptive_Learning_of_High-Value_Regions_for_Semi-Supervised_Medical_Image_Segmentation_ICCV_2025_paper.pdf,https://github.com/ziziyao/ALHVR,3,,,
2025,Medical,解剖学；医学图像分割,Teaching AI the Anatomy Behind the Scan: Addressing Anatomical Flaws in Medical Image Segmentation with Learnable Prior,教会AI解读扫描背后的解剖学：通过可学习的先验解决医学图像分割中的解剖缺陷,1,https://arxiv.org/abs/2403.18878,https://github.com/Youngseok0001/aic-net,1,,,
2025,Medical,数据集；3D医学图像分割,UKBOB: One Billion MRI Labeled Masks for Generalizable 3D Medical Image Segmentation,UKBOB：一十亿MRI标签掩码，用于具有广泛泛化能力的3D医学图像分割,1,https://arxiv.org/abs/2504.06908,https://emmanuelleb985.github.io/ukbob/,,,,
2025,Medical,自监督学习；医学图像学习,Structure-aware Semantic Discrepancy and Consistency for 3D Medical Image Self-supervised Learning,结构感知语义差异与一致性：用于3D医学图像自监督学习,2,https://arxiv.org/abs/2507.02581,https://github.com/Ashespt/S2DC,4,,,
2025,Medical,多模态学习；3D医学图像分割,Towards a Universal 3D Medical Multi-modality Generalization via Learning Personalized Invariant Representation,通过学习个性化不变表征实现通用3D医学多模态泛化,0,https://arxiv.org/abs/2507.02464,,,,,
2025,Medical,语言引导；医学图像分割,Alleviating Textual Reliance in Medical Language-guided Segmentation via Prototype-driven Semantic Approximation,通过原型驱动的语义逼近减轻医学语言引导分割中的文本依赖,0,https://arxiv.org/abs/2507.11055,https://github.com/ShuchangYe-bib/ProLearn,52,,,
2025,Medical,自动化；体积医学图像分割,MaskSAM: Auto-prompt SAM with Mask Classification for Volumetric Medical Image Segmentation,MaskSAM：通过掩码分类自动提示SAM用于体积医学图像分割,2,https://arxiv.org/abs/2403.14103,https://github.com/bxie9/MaskSAM,3,,,
